Employee Name,Lemployee Last Name,Title,Department ID,Salary
ABRAHAM,ARCHER,CEO,EXECUTIVE TEAM,1240000
BETTY,BILLER,CTO,EXECUTIVE TEAM,550000
CHRISTINA,CANDY,CFO,EXECUTIVE TEAM,525000
DANIELLE,DICKENS,CIO,EXECUTIVE TEAM,575000
EDIS,ERIC,VP,ENGINEERING,300000
FRANCIS,FRANKO,VP,HUMAN RESOURCES,300000
GEORGE,GARFIELD,DIRECTOR,ENGINEERING,200000
HANS,HOOVER,MANAGER,ENGINEERING,150000
IRENA,ISLES,ENGINEER,ENGINEERING,120000
JACK, JACKSON,ENGINEER,ENGINEERING,80000
KRISTOPHER,KING,ENGINEER,ENGINEERING,90000
LILLY,LUCKY,VP,SALES,200000
MARY,MILLER,ASSISTANT,ADMIN,50000
NADIA,NEWARK,DIRECTOR,FINANCE,120000
OTTO,OSWALD,MANAGER,FINANCE,80000
PURI,PATEL,ACCOUNTANT,FINANCE,60000
QUINTON,QUINN,DIRECTOR,HUMAN RESOURCES,120000
RICK,ROCKEFELLER,RECRUITER,HUMAN RESOURCES,89000
SUSAN,SMITH,MANAGER,HUMAN RESOURCES,80000
THOMAS,TIMBER,ENGINEER,ENGINEERING,120000
UMA,ULLMAN,VP,MARKETING,180000
VERONICA,VINCENT,PM,MARKETING,120000
WENDY,WILLIAMS,ENGINEER,ENGINEERING,140000
XIN,XIANG,MANAGER,IT,80000
YAN,YOUNG,IT SUPPORT,IT,80000
ZACK,ZUCKERBERG,IT SUPPORT,IT,63000
